使用者,收藏網址,URL網址,Tag
ChanJudy0111,http://twitter.com/TF_EXPO/status/499171141957591040,http://www.mayday.jp/news/,
ChanJudy0111,http://twitter.com/takuya5054/status/576358991783022593,,
ChanJudy0111,http://twitter.com/ntv_sukkiri/status/604165943363657728,,Mayday
ChanJudy0111,http://twitter.com/monsterGT531/status/637304870555418624,,
ChanJudy0111,http://twitter.com/Mayday_JP/status/634923361877946368,http://www.mayday.jp/live/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/622645522914869248,http://event.kkbox.com/mayday.jp,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/620828878706085888,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/612640289379848192,http://m.mantan-web.jp/article/20150620dog00m200028000c.html,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/612047886377861121,http://rocketnews24.com/2015/06/19/597770/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/611934520246300672,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/611922602395746305,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/611703703964266496,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/611126996513325056,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/611126617490898944,http://www.kkbox.com/jp/ja/column/interviews-218-37-1.html,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/611016624867422210,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/610414130013405184,http://www.barks.jp/news/?id=1000116654,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/609599413153980416,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/609314406304911360,http://www.mayday.jp/news/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/608605123917414400,https://www.facebook.com/imayday555/videos/920572061342715/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/608469683075969024,http://www.mayday.jp/news/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/608469508420972544,http://www.mayday.jp/news/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/605366988517416961,,
ChanJudy0111,http://twitter.com/Mayday_JP/status/605275950377369600,https://youtu.be/NSn4aW0z6_A,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/604981725572132865,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/604977809635745792,http://goo.gl/VPVdwb,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/604977786239877122,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/604925244005068802,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/604234388763582464,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/577568075916050432,,
ChanJudy0111,http://twitter.com/Mayday_JP/status/504870611533848576,http://www.bs-j.co.jp/jyakugi2/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/500959000960065536,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/500929218964754433,,
ChanJudy0111,http://twitter.com/Mayday_JP/status/500834289643057152,,
ChanJudy0111,http://twitter.com/Mayday_JP/status/500177930387853314,https://www.youtube.com/watch?v=P4qYWbZJpSo,
ChanJudy0111,http://twitter.com/Mayday_JP/status/500169709619134465,,
ChanJudy0111,http://twitter.com/Mayday_JP/status/500156128966094848,,
ChanJudy0111,http://twitter.com/Mayday_JP/status/499207003726557184,http://www.mayday.jp/news/,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/493615996452622336,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/493614922027106307,http://www.ntv.co.jp/TFE/index.html,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/481346720542887936,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/474119766857097217,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/474119069143015424,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/474067759974731777,http://realsound.jp/,
ChanJudy0111,http://twitter.com/Mayday_JP/status/474024737824190465,http://youtu.be/6V5uQEpyw08,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/473798162537148416,,Mayday
ChanJudy0111,http://twitter.com/Mayday_JP/status/473421884889894914,,Mayday
ChanJudy0111,http://twitter.com/KKBOX_JP/status/607832866093830144,,Mayday
ChanJudy0111,http://twitter.com/KKBOX_JP/status/474179589464276992,http://on.fb.me/1pR6c97,Mayday
ChanJudy0111,http://twitter.com/FT__Island/status/483250451282796544,,HongGi
ChanJudy0111,http://twitter.com/excite_music/status/489240992235532288,http://www.excite.co.jp/music/news/detail/E1405478405372.html,
ChanJudy0111,http://twitter.com/eiga_pia/status/559622025019285505,http://bit.ly/15BAeJk,映?
ChanJudy0111,http://twitter.com/AShinOfficial/status/645532303473512449,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/637559609494913024,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/612087070794723328,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/611878442431197184,https://youtu.be/xy-BqLWpoQM,
ChanJudy0111,http://twitter.com/AShinOfficial/status/607425274968313856,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/607425239144792065,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/606104648231960576,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/606104608503496705,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/602478141546729473,https://m.youtube.com/watch?v=qX2GsMj7154,
ChanJudy0111,http://twitter.com/AShinOfficial/status/595995291548954624,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/589447021926297600,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/579796531043119104,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/578353062907006976,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/575325645871280130,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/574212624893657088,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/572771165183201280,https://www.facebook.com/notes/%E7%9B%B8%E4%BF%A1%E9%9F%B3%E6%A8%82%E5%9C%8B%E9%9A%9B%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/328-100-mayday%E4%BA%94%E6%9C%88%E5%A4%A9just-rock-it%E6%BC%94%E5%94%B1%E6%9C%83%E5%A4%A7%E8%A5%BF%E6%B4%8B%E5%9F%8E%E6%BF%B1%E6%B5%B7%E5%A4%A7%E9%81%93%E6%9C%83%E8%AD%B0%E4%B8%AD%E5%BF%83217-iemshowplace%E7%B6%B2%E7%AB%99%E9%96%80%E7%A5%A8%E9%96%8B%E8%B3%A3213-2100%E6%96%B0%E5%A2%9E%E6%BC%94%E5%94%B1%E6%9C%83%E7%A5%A8/1349282435134855,
ChanJudy0111,http://twitter.com/AShinOfficial/status/570077424852934656,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/568938902104309761,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/568728551328886784,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/567986139035930624,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/567701500156076033,http://youtu.be/nlvTrcdwDLw,
ChanJudy0111,http://twitter.com/AShinOfficial/status/567477245292199937,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/566313759883268097,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/565176522512662528,,
ChanJudy0111,http://twitter.com/AShinOfficial/status/560691397406113792,,
