使用者,收藏網址,URL網址,Tag
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/656041097861267456,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/654315225936621568,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/648063510056861696,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/645532303473512449,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/643280042873647104,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/637559609494913024,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/634377711444627456,https://youtu.be/IBT0_3QUy98,突然好想你byLaLa
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/631834242977107968,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/630025004973862912,https://youtu.be/X1w3JU5dIAg,你是唯一
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/629936506572922880,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/627650829994954752,https://www.facebook.com/somekidding,女也
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/625327394337898498,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/622820937042231296,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/622421526541787136,https://youtu.be/eZxkpvoJI2Q,女也
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/622421405628411904,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/619917659212111873,,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/618809234113740800,https://youtu.be/45mI3RaNOow,女也
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/616654756535087104,https://youtu.be/3Q__2oA69PM,
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/615002595547975680,https://youtu.be/6n8AitBL7xc,女也
gzudNaQXU9458AC,http://twitter.com/AShinOfficial/status/612087070794723328,,
