使用者,收藏網址,URL網址,Tag
qwer579134,http://twitter.com/YouTube/status/612069869715095552,https://goo.gl/627rAb,
qwer579134,http://twitter.com/twlatestnews/status/614965041280880640,http://bit.ly/1KlQHDH,
qwer579134,http://twitter.com/twlatestnews/status/614965039368253440,http://bit.ly/1KlQHDD,
qwer579134,http://twitter.com/twlatestnews/status/614965038453952512,http://bit.ly/1KlQHDz,
qwer579134,http://twitter.com/twlatestnews/status/614965037388541952,http://bit.ly/1KlQJvd,
qwer579134,http://twitter.com/TW_nextmedia/status/614342815787544576,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20150626/636208/,蔡康永
qwer579134,http://twitter.com/TW_nextmedia/status/614271402116431872,http://ent.appledaily.com.tw/animation/index/20150626/36630862/99,動新聞
qwer579134,http://twitter.com/TW_nextmedia/status/614244710484328448,http://www.appledaily.com.tw/animation/appledaily/5/20150626/36631166/,動新聞
qwer579134,http://twitter.com/TW_nextmedia/status/614075104130019328,http://www.appledaily.com.tw/realtimenews/article/fun/20150625/635805/,CanalBoom
qwer579134,http://twitter.com/TW_nextmedia/status/613988192572669956,http://ent.appledaily.com.tw/realtimenews/article/entertainment/20150625/635316/,冠佑
qwer579134,http://twitter.com/TW_nextmedia/status/612241260984688640,http://www.appledaily.com.tw/realtimenews/article/international/20150620/632408/,
qwer579134,http://twitter.com/taipeinavi/status/617932606286336002,http://www.taipeinavi.com/special/5056629,
qwer579134,http://twitter.com/taipeinavi/status/613948257589313536,http://www.taipeinavi.com/special/5056420,
qwer579134,http://twitter.com/taipeinavi/status/613878961425092609,http://www.taipeinavi.com/beauty/213/,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/656700872232013824,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/655302811475808256,http://jp.istayreal.com/news/1042,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/651313514959638528,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/649853423806885888,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/649097537450696704,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/647320344483659776,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/645068024198725632,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/644773856972926976,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/644025100690259969,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/642206989456535552,http://jp.istayreal.com/news/1019,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/641866838054318080,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/641861683233849345,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/641816946699202560,http://jp.istayreal.com/news/1018,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/640751919544139777,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/640738625114669056,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/637686154456776704,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/637683416188653568,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/637682341595365376,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/636551947886002176,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/634587657939517440,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/634348483667886080,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/633509311679860736,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/633168950398836736,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/630651750609883136,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/629142090996318208,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614692560821301248,https://twitter.com/kaorinbzlove/status/614689614855471104,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614638329988972544,http://jp.istayreal.com/news/990,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614316506436866048,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614315832806477824,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614313858417627136,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614313165006831617,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614301192508674048,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614298253362774016,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/614297288685436928,https://twitter.com/ningyonoteiou/status/613655442112122880,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/612522225590104064,,
qwer579134,http://twitter.com/STAYREAL_Tokyo/status/612137997685755904,https://twitter.com/kaorinbzlove/status/612132093506621440,
qwer579134,http://twitter.com/stay_mayday/status/637522869929377793,,怪獸
