http://twitter.com/Mayday_JP/status/603893728730841088,https://youtu.be/5OA0A21zyLY
gracienoir,
monsterpine,
hsinstar555,
Elsashark,
HuangJiuen,
BestJimTW,
c99a6d1a8ce645f,
mandylovemayday,
amigochiang,
ChanJudy0111,
elaine_lin66,
exomin0201,
MaydayAnnie,
pitzpitz0214,
Anti_Korea_JP,
Sharon20010225,
6Pe1007,
qwer579134,
http://twitter.com/ashin945/status/604541892970188800,http://www.mayday.jp/
amigochiang,
ChanJudy0111,
elaine_lin66,
exomin0201,
MaydayAnnie,
pitzpitz0214,
Anti_Korea_JP,
Sharon20010225,
6Pe1007,
qwer579134,
BestJimTW,
chc737,
stay89706,
jane1206531,
K7k6H42el7tUqYm,
BabyCy_1202,
aprilsixteenday,
yongweisee,
stephanielovemp,
http://twitter.com/ashin945/status/604541892,https://www.youtube.com/watch?v=-T6vYURGCXQ
MaydayAnnie,
pitzpitz0214,
Anti_Korea_JP,
Sharon20010225,
6Pe1007,
qwer579134,
BestJimTW,
chc737,
stay89706,
jane1206531,
K7k6H42el7tUqYm,
BabyCy_1202,
aprilsixteenday,
yongweisee,
stephanielovemp,
gracienoir,
monsterpine,
hsinstar555,
Elsashark,
