TwitterPage,ShortURL,website,category,title,web_keyword,user_keyword,compare,PageRank,SubPageRank,YoutubeWatched,YoutubeLike,YoutubeUnLike,FacebookShare,FacebookLike,FBVideoWatched
http://twitter.com/ashin945/status/545231473603657728,https://t.co/TtRrMtM6Mr,https://www.youtube.com/watch?v=P4qYWbZJpSo,,,,,,9,,250576,3540,27,,,
http://twitter.com/AShinOfficial/status/545236403592777728,http://t.co/J1d6O4I573,https://www.youtube.com/watch?v=tSiDpPu3Uhs&feature=youtu.be,,,,,,9,,672384,9218,76,,,
http://twitter.com/AShinOfficial/status/548075290254012416,http://t.co/GFVwAeA0cX,https://www.facebook.com/ashin555,,,,,,9,6,,,,,,
http://twitter.com/AShinOfficial/status/554334445306531841,http://t.co/SPTolqBN6q,https://www.youtube.com/watch?v=_XYcCNY-ass&feature=youtu.be,,,,,,9,,3420806,17119,276,,,
http://twitter.com/ashin945/status/559722687191199744,http://t.co/dtTdBXCMKT,https://www.youtube.com/watch?v=_XYcCNY-ass&feature=youtu.be,,,,,,9,,3420806,17119,276,,,
http://twitter.com/AShinOfficial/status/567701500156076033,http://t.co/fGo33Id4r8,https://www.youtube.com/watch?v=nlvTrcdwDLw&feature=youtu.be,,,,,,9,,1997696,11351,183,,,
http://twitter.com/ashin945/status/569507096724574209,https://t.co/8WaBMwmmgI,https://www.facebook.com/video.php?v=850542425012346&set=vb.182099101856685&type=2&theater,,,,,,9,,,,,2919,27813,536583
http://twitter.com/AShinOfficial/status/602478141546729473,https://t.co/vhspYD9EEZ,https://www.youtube.com/watch?v=qX2GsMj7154&app=desktop,,,,,,9,,19975589,102394,2003,,,
http://twitter.com/Mayday_JP/status/605275950377369600,https://t.co/qpd86ClFyZ,https://www.youtube.com/watch?v=NSn4aW0z6_A&feature=youtu.be,,,,,,9,,35459,417,13,,,
http://twitter.com/ashin945/status/608606307831054337,https://t.co/AvdiBNHvDY,https://www.facebook.com/imayday555/videos/920572061342715/,,,,,,9,5,,,,5706,20195,616730
http://twitter.com/AShinOfficial/status/611878442431197184,https://t.co/5pgzNxADox,https://www.youtube.com/watch?v=xy-BqLWpoQM&feature=youtu.be,,,,,,9,,2651006,10604,173,,,
http://twitter.com/AShinOfficial/status/615002595547975680,https://t.co/k7LBqjCpPt,https://www.youtube.com/watch?v=6n8AitBL7xc&feature=youtu.be,,,,,,9,,1965708,10401,122,,,
http://twitter.com/AShinOfficial/status/616654756535087104,https://t.co/NuHDZ5MaBz,https://www.youtube.com/watch?v=3Q__2oA69PM&feature=youtu.be,,,,,,9,,963388,3127,182,,,
http://twitter.com/AShinOfficial/status/618809234113740800,https://t.co/mFXFagnVoP,https://www.youtube.com/watch?v=45mI3RaNOow&feature=youtu.be,,,,,,9,,456202,2440,100,,,
http://twitter.com/AShinOfficial/status/622421526541787136,https://t.co/LRxeRmUhI4,https://www.youtube.com/watch?v=eZxkpvoJI2Q&feature=youtu.be,,,,,,9,,1786397,7942,91,,,
http://twitter.com/AShinOfficial/status/627650829994954752,https://t.co/F4txT1X3oD,https://www.facebook.com/somekidding,,,,,,9,5,,,,,,
http://twitter.com/AShinOfficial/status/630025004973862912,https://t.co/feXJyXSENl,https://www.youtube.com/watch?v=X1w3JU5dIAg&feature=youtu.be,,,,,,9,,1431952,12123,153,,,
http://twitter.com/AShinOfficial/status/634377711444627456,https://t.co/q1rQJDhupF,https://www.youtube.com/watch?v=IBT0_3QUy98&feature=youtu.be,,,,,,9,,6431770,33414,536,,,
http://twitter.com/ashin945/status/635447807034322944,http://t.co/yGGJfbitJM,https://www.facebook.com/imayday555/videos/920572061342715/,,,,,,9,5,,,,5706,20195,616730
http://twitter.com/ashin945/status/635546720655405056,https://t.co/g4NpbDvTqg,https://www.youtube.com/watch?v=Fpb4HcUPlMM,,,,,,9,,15821,81,0,,,
http://twitter.com/ashin945/status/637855778741751808,https://t.co/noUMFuSO4D,https://www.facebook.com/ashin555/posts/936596469729371,,,,,,9,6,,,,,,
http://twitter.com/LeagueOfLegends/status/544902919272030208,https://t.co/bFVtDyRp55,https://vine.co/v/Ogev9VaJ2wQ,,,,,,7,,,,,,,
